,k,p,class,is_adversarial
89,87.0,0.19218768179416656,925.0,0.0
90,102.0,0.13048435747623444,918.0,0.0
91,16.0,0.6291134357452393,680.0,0.0
92,26.0,0.5736538171768188,904.0,0.0
93,26.0,0.0599663145840168,395.0,0.0
94,16.0,0.5992591977119446,462.0,0.0
95,47.0,0.4881916046142578,854.0,0.0
96,25.0,0.46064135432243347,690.0,0.0
97,57.0,0.20647746324539185,973.0,0.0
98,14.0,0.062335893511772156,657.0,0.0
99,51.0,0.22951404750347137,721.0,0.0
100,283.0,0.29992860555648804,789.0,0.0
101,58.0,0.22149206697940826,431.0,0.0
102,22.0,0.133297398686409,891.0,0.0
103,11.0,0.15455307066440582,525.0,0.0
104,111.0,0.14201082289218903,66.0,0.0
105,106.0,0.031089600175619125,495.0,0.0
106,26.0,0.15268898010253906,718.0,0.0
107,37.0,0.2835630476474762,752.0,0.0
108,16.0,0.4045586884021759,341.0,0.0
109,4.0,0.2952303886413574,741.0,0.0
110,85.0,0.08448176085948944,753.0,0.0
111,50.0,0.20466198027133942,669.0,0.0
112,50.0,0.209901362657547,127.0,0.0
113,51.0,0.14246569573879242,752.0,0.0
114,15.0,0.24463418126106262,708.0,0.0
115,26.0,0.43966352939605713,901.0,0.0
116,17.0,0.1363202929496765,904.0,0.0
117,37.0,0.12795832753181458,831.0,0.0
118,69.0,0.09847535192966461,354.0,0.0
119,81.0,0.1541794091463089,913.0,0.0
120,14.0,0.16019883751869202,680.0,0.0
121,29.0,0.28235480189323425,41.0,0.0
122,15.0,0.2040203958749771,727.0,0.0
123,78.0,0.15240825712680817,36.0,0.0
124,24.0,0.03623593598604202,284.0,0.0
125,20.0,0.17080338299274445,554.0,0.0
126,60.0,0.11742007732391357,977.0,0.0
127,7.0,0.058941446244716644,794.0,0.0
128,16.0,0.1149177998304367,754.0,0.0
129,42.0,0.29715293645858765,297.0,0.0
130,57.0,0.19344596564769745,761.0,0.0
131,30.0,0.39312565326690674,701.0,0.0
132,2.0,0.10358494520187378,891.0,0.0
133,25.0,0.13986600935459137,974.0,0.0
134,32.0,0.30501535534858704,938.0,0.0
135,18.0,0.30402740836143494,516.0,0.0
136,172.0,0.33527815341949463,496.0,0.0
137,39.0,0.5077993869781494,222.0,0.0
138,58.0,0.09186235070228577,319.0,0.0
139,15.0,0.1292150765657425,431.0,0.0
140,16.0,0.07878267765045166,921.0,0.0
141,20.0,0.1604408174753189,284.0,0.0
142,106.0,0.2283155471086502,657.0,0.0
143,39.0,0.07640984654426575,998.0,0.0
144,13.0,0.1283765286207199,556.0,0.0
145,65.0,0.09175685048103333,912.0,0.0
146,100.0,0.09593463689088821,928.0,0.0
147,10.0,0.16130702197551727,846.0,0.0
148,42.0,0.13761106133460999,828.0,0.0
149,44.0,0.2121865302324295,83.0,0.0
150,26.0,0.318860799074173,407.0,0.0
151,37.0,0.08775974065065384,1.0,0.0
152,101.0,0.18194618821144104,51.0,0.0
153,13.0,0.2519074082374573,556.0,0.0
154,94.0,0.1422242373228073,861.0,0.0
155,49.0,0.029588675126433372,921.0,0.0
156,35.0,0.12273173779249191,891.0,0.0
157,73.0,0.22246535122394562,415.0,0.0
158,9.0,0.6731714606285095,499.0,0.0
159,148.0,0.37283855676651,101.0,0.0
160,39.0,0.11583280563354492,561.0,0.0
161,22.0,0.4736456871032715,732.0,0.0
162,39.0,0.07370124012231827,701.0,0.0
163,58.0,0.1747228354215622,904.0,0.0
164,93.0,0.3443332612514496,704.0,0.0
165,48.0,0.11803798377513885,222.0,0.0
166,21.0,0.1783980280160904,29.0,0.0
167,53.0,0.11377900093793869,42.0,0.0
168,52.0,0.025174757465720177,446.0,0.0
169,26.0,0.2979063093662262,663.0,0.0
170,39.0,0.1292734146118164,839.0,0.0
171,145.0,0.16900859773159027,344.0,0.0
172,13.0,0.39826473593711853,902.0,0.0
173,127.0,0.2917810082435608,383.0,0.0
174,7.0,0.10640458762645721,510.0,0.0
175,16.0,0.3852127194404602,698.0,0.0
176,27.0,0.2188313901424408,288.0,0.0
177,127.0,0.1578688621520996,979.0,0.0
178,13.0,0.09900324046611786,700.0,0.0
179,68.0,0.21040374040603638,975.0,0.0
180,7.0,0.6178077459335327,680.0,0.0
181,39.0,0.2558452785015106,98.0,0.0
182,17.0,0.3158087134361267,111.0,0.0
183,32.0,0.33634495735168457,755.0,0.0
184,16.0,0.20681150257587433,680.0,0.0
185,17.0,0.2271406650543213,706.0,0.0
186,8.0,0.15224120020866394,686.0,0.0
187,24.0,0.11491772532463074,918.0,0.0
188,15.0,0.02429056167602539,730.0,0.0
189,50.0,0.3107094466686249,754.0,0.0
190,19.0,0.12517166137695312,890.0,0.0
191,67.0,0.28766587376594543,884.0,0.0
192,91.0,0.06664018332958221,978.0,0.0
193,25.0,0.4085250198841095,836.0,0.0
194,14.0,0.3364463448524475,746.0,0.0
195,54.0,0.15170852839946747,442.0,0.0
196,12.0,0.14740772545337677,656.0,0.0
197,26.0,0.43518736958503723,439.0,0.0
198,37.0,0.2942492663860321,635.0,0.0
199,20.0,0.04801833629608154,111.0,0.0
200,88.0,0.04733772575855255,426.0,0.0
201,49.0,0.1310807764530182,912.0,0.0
202,33.0,0.2060336470603943,981.0,0.0
203,30.0,0.1183345690369606,922.0,0.0
204,47.0,0.14539086818695068,549.0,0.0
205,11.0,0.30839961767196655,556.0,0.0
206,45.0,0.28541356325149536,680.0,0.0
207,17.0,0.2519178092479706,844.0,0.0
208,40.0,0.25578930974006653,491.0,0.0
209,46.0,0.062392909079790115,415.0,0.0
210,74.0,0.23214921355247498,844.0,0.0
211,30.0,0.14908674359321594,773.0,0.0
212,32.0,0.1391299068927765,526.0,0.0
213,31.0,0.06920666992664337,149.0,0.0
214,25.0,0.4277247190475464,700.0,0.0
215,134.0,0.03344382345676422,820.0,0.0
216,48.0,0.30723807215690613,718.0,0.0
217,15.0,0.5498535633087158,353.0,0.0
218,71.0,0.3310560882091522,319.0,0.0
219,46.0,0.15113334357738495,87.0,0.0
220,16.0,0.42365360260009766,101.0,0.0
221,42.0,0.5939621925354004,691.0,0.0
222,11.0,0.16180485486984253,631.0,0.0
223,29.0,0.1179855614900589,557.0,0.0
224,32.0,0.06781584024429321,1.0,0.0
225,30.0,0.1712564080953598,739.0,0.0
226,16.0,0.15473546087741852,647.0,0.0
227,14.0,0.15926972031593323,411.0,0.0
228,14.0,0.23853904008865356,623.0,0.0
229,39.0,0.36252450942993164,173.0,0.0
230,29.0,0.13038396835327148,565.0,0.0
231,56.0,0.1177925169467926,434.0,0.0
232,17.0,0.2818039357662201,318.0,0.0
233,11.0,0.08881448209285736,689.0,0.0
234,15.0,0.11293921619653702,98.0,0.0
235,28.0,0.14155517518520355,272.0,0.0
236,15.0,0.14981040358543396,565.0,0.0
237,125.0,0.2123902589082718,134.0,0.0
238,36.0,0.0595288947224617,318.0,0.0
239,19.0,0.7660004496574402,739.0,0.0
240,45.0,0.3974646031856537,870.0,0.0
241,4.0,0.45152464509010315,805.0,0.0
242,122.0,0.0804448127746582,840.0,0.0
243,33.0,0.16003961861133575,739.0,0.0
244,17.0,0.15789832174777985,609.0,0.0
245,104.0,0.20599710941314697,728.0,0.0
246,12.0,0.12837490439414978,874.0,0.0
247,35.0,0.31670942902565,558.0,0.0
248,6.0,0.40967926383018494,556.0,0.0
249,58.0,0.13936983048915863,998.0,0.0
250,9.0,0.2835736572742462,556.0,0.0
251,56.0,0.08831484615802765,455.0,0.0
252,9.0,0.06176227703690529,610.0,0.0
253,4.0,0.09817846119403839,517.0,0.0
254,4.0,0.19353409111499786,906.0,0.0
255,18.0,0.08007482439279556,448.0,0.0
256,28.0,0.5328311324119568,603.0,0.0
257,36.0,0.17087100446224213,669.0,0.0
258,81.0,0.3320642411708832,835.0,0.0
259,13.0,0.17880520224571228,584.0,0.0
260,23.0,0.24963034689426422,904.0,0.0
261,76.0,0.25040295720100403,868.0,0.0
262,39.0,0.1398763209581375,463.0,0.0
263,7.0,0.2793669104576111,556.0,0.0
264,15.0,0.046792034059762955,904.0,0.0
265,115.0,0.08063964545726776,58.0,0.0
266,37.0,0.16183830797672272,324.0,0.0
267,124.0,0.09026544541120529,767.0,0.0
268,51.0,0.4860868453979492,708.0,0.0
269,58.0,0.12978196144104004,677.0,0.0
270,233.0,0.1492041051387787,904.0,0.0
271,22.0,0.12154287099838257,656.0,0.0
272,211.0,0.3100900948047638,395.0,0.0
273,33.0,0.03533041477203369,659.0,0.0
274,91.0,0.04743117094039917,420.0,0.0
275,11.0,0.04078616201877594,556.0,0.0
276,60.0,0.30602362751960754,326.0,0.0
277,15.0,0.10607090592384338,784.0,0.0
278,146.0,0.21109794080257416,772.0,0.0
279,18.0,0.018178191035985947,975.0,0.0
280,45.0,0.17234180867671967,562.0,0.0
281,39.0,0.5703341960906982,318.0,0.0
282,51.0,0.12449054419994354,549.0,0.0
283,36.0,0.01949172653257847,708.0,0.0
284,62.0,0.47159239649772644,764.0,0.0
285,9.0,0.09601839631795883,443.0,0.0
286,31.0,0.348211407661438,465.0,0.0
287,32.0,0.32684457302093506,62.0,0.0
288,33.0,0.44877326488494873,99.0,0.0
289,5.0,0.18203015625476837,419.0,0.0
290,39.0,0.18286699056625366,803.0,0.0
291,52.0,0.06562743335962296,700.0,0.0
292,53.0,0.16125182807445526,319.0,0.0
293,29.0,0.18832358717918396,713.0,0.0
294,93.0,0.09826436638832092,897.0,0.0
295,51.0,0.2675892114639282,326.0,0.0
296,25.0,0.5777403712272644,319.0,0.0
297,33.0,0.4270520508289337,52.0,0.0
298,24.0,0.026426028460264206,904.0,0.0
299,31.0,0.2673990726470947,322.0,0.0
300,18.0,0.23983518779277802,601.0,0.0
301,27.0,0.0665530413389206,660.0,0.0
302,84.0,0.08201158791780472,971.0,0.0
303,7.0,0.045906927436590195,712.0,0.0
304,89.0,0.11358044296503067,549.0,0.0
305,79.0,0.23718756437301636,453.0,0.0
306,18.0,0.2498306930065155,885.0,0.0
307,122.0,0.18407829105854034,385.0,0.0
308,17.0,0.24263502657413483,669.0,0.0
309,151.0,0.13958394527435303,775.0,0.0
310,26.0,0.08475837111473083,669.0,0.0
311,29.0,0.057144518941640854,865.0,0.0
312,96.0,0.13135391473770142,959.0,0.0
313,12.0,0.12958469986915588,660.0,0.0
314,51.0,0.1878179907798767,44.0,0.0
315,139.0,0.07504443824291229,981.0,0.0
316,13.0,0.18883609771728516,814.0,0.0
317,13.0,0.12164042890071869,554.0,0.0
318,59.0,0.18172767758369446,591.0,0.0
319,66.0,0.3492986559867859,173.0,0.0
320,13.0,0.16271041333675385,743.0,0.0
321,25.0,0.47406283020973206,407.0,0.0
322,84.0,0.4052979052066803,747.0,0.0
323,11.0,0.04540862888097763,98.0,0.0
324,21.0,0.06658698618412018,478.0,0.0
325,12.0,0.1506054550409317,711.0,0.0
326,28.0,0.17014414072036743,912.0,0.0
327,47.0,0.13187797367572784,867.0,0.0
328,5.0,0.24393069744110107,811.0,0.0
329,28.0,0.3828086853027344,630.0,0.0
330,25.0,0.34586089849472046,386.0,0.0
331,127.0,0.2859317362308502,49.0,0.0
332,64.0,0.22017371654510498,921.0,0.0
333,208.0,0.17357084155082703,778.0,0.0
334,55.0,0.36890506744384766,891.0,0.0
335,49.0,0.34047746658325195,582.0,0.0
336,287.0,0.0665808618068695,498.0,0.0
337,32.0,0.13391652703285217,148.0,0.0
338,55.0,0.13294820487499237,434.0,0.0
339,14.0,0.2184029221534729,680.0,0.0
340,95.0,0.0976426899433136,551.0,0.0
341,38.0,0.23792323470115662,654.0,0.0
342,112.0,0.44842085242271423,385.0,0.0
343,42.0,0.28432580828666687,789.0,0.0
344,26.0,0.566021740436554,409.0,0.0
345,19.0,0.11683224886655807,98.0,0.0
346,40.0,0.1053435280919075,977.0,0.0
347,11.0,0.0631837323307991,755.0,0.0
348,15.0,0.48993194103240967,345.0,0.0
349,82.0,0.2271302342414856,887.0,0.0
350,50.0,0.21647216379642487,41.0,0.0
351,15.0,0.11477994918823242,126.0,0.0
352,77.0,0.15385036170482635,764.0,0.0
353,16.0,0.2182203084230423,468.0,0.0
354,6.0,0.45325490832328796,556.0,0.0
355,209.0,0.09470422565937042,557.0,0.0
356,19.0,0.3157346248626709,229.0,0.0
357,23.0,0.09409710764884949,817.0,0.0
358,15.0,0.28656402230262756,856.0,0.0
359,166.0,0.13353507220745087,876.0,0.0
360,85.0,0.34881728887557983,545.0,0.0
361,149.0,0.07595480233430862,750.0,0.0
362,107.0,0.1506105661392212,269.0,0.0
363,9.0,0.31816205382347107,653.0,0.0
364,18.0,0.376576691865921,142.0,0.0
365,7.0,0.10516280680894852,653.0,0.0
366,63.0,0.2319028526544571,888.0,0.0
367,44.0,0.10537336021661758,80.0,0.0
368,46.0,0.07686812430620193,399.0,0.0
369,19.0,0.016100063920021057,111.0,0.0
370,64.0,0.16277030110359192,353.0,0.0
371,49.0,0.03414972499012947,792.0,0.0
372,169.0,0.26703205704689026,716.0,0.0
373,84.0,0.09865287691354752,853.0,0.0
374,31.0,0.38336727023124695,511.0,0.0
375,31.0,0.2454884648323059,904.0,0.0
376,36.0,0.5301734209060669,646.0,0.0
377,49.0,0.056319981813430786,399.0,0.0
378,32.0,0.4712178111076355,645.0,0.0
379,37.0,0.09885192662477493,668.0,0.0
380,15.0,0.08352476358413696,657.0,0.0
381,22.0,0.10981795936822891,691.0,0.0
382,26.0,0.22464017570018768,935.0,0.0
383,85.0,0.19312246143817902,424.0,0.0
384,21.0,0.3419066071510315,987.0,0.0
385,107.0,0.04063132032752037,868.0,0.0
386,144.0,0.1366472989320755,118.0,0.0
387,11.0,0.14412148296833038,846.0,0.0
388,71.0,0.3235393166542053,394.0,0.0
389,58.0,0.08884437382221222,921.0,0.0
390,80.0,0.4386115074157715,611.0,0.0
391,56.0,0.1501508355140686,434.0,0.0
392,34.0,0.22258281707763672,861.0,0.0
393,59.0,0.11265500634908676,718.0,0.0
394,92.0,0.12927590310573578,879.0,0.0
395,57.0,0.09271453320980072,94.0,0.0
396,186.0,0.09010466933250427,545.0,0.0
397,139.0,0.09868056327104568,119.0,0.0
398,46.0,0.23226594924926758,554.0,0.0
399,22.0,0.25937819480895996,314.0,0.0
400,173.0,0.2806689143180847,786.0,0.0
401,19.0,0.19162975251674652,895.0,0.0
402,5.0,0.047564391046762466,641.0,0.0
403,21.0,0.025532003492116928,978.0,0.0
404,0.0,0.0,0.0,0.0
405,37.0,0.17529776692390442,416.0,0.0
406,14.0,0.3017632067203522,793.0,0.0
407,38.0,0.10035929828882217,647.0,0.0
408,27.0,0.3400774300098419,331.0,0.0
409,14.0,0.1428268551826477,411.0,0.0
410,36.0,0.32657384872436523,886.0,0.0
411,5.0,0.15445570647716522,446.0,0.0
412,9.0,0.156126007437706,438.0,0.0
413,47.0,0.1603369563817978,698.0,0.0
414,18.0,0.13004373013973236,728.0,0.0
415,6.0,0.3293570578098297,854.0,0.0
416,162.0,0.10666878521442413,959.0,0.0
417,40.0,0.26858532428741455,473.0,0.0
418,14.0,0.20695605874061584,689.0,0.0
419,77.0,0.054364416748285294,58.0,0.0
420,42.0,0.10661500692367554,6.0,0.0
421,14.0,0.03418987616896629,519.0,0.0
422,21.0,0.0474373996257782,675.0,0.0
423,27.0,0.35626405477523804,940.0,0.0
424,49.0,0.17643456161022186,741.0,0.0
425,33.0,0.40345945954322815,671.0,0.0
426,23.0,0.3020382821559906,803.0,0.0
427,13.0,0.03574394807219505,446.0,0.0
428,21.0,0.2670048475265503,103.0,0.0
429,190.0,0.14184899628162384,791.0,0.0
430,15.0,0.1546776294708252,727.0,0.0
431,15.0,0.023572800680994987,51.0,0.0
432,7.0,0.0760476291179657,583.0,0.0
433,16.0,0.060191746801137924,912.0,0.0
434,34.0,0.4696916341781616,319.0,0.0
435,37.0,0.2377767264842987,974.0,0.0
436,27.0,0.06697875261306763,728.0,0.0
437,19.0,0.04414825141429901,510.0,0.0
438,24.0,0.24503640830516815,977.0,0.0
439,13.0,0.09303916990756989,466.0,0.0
440,49.0,0.2083093822002411,576.0,0.0
441,72.0,0.13870127499103546,712.0,0.0
442,56.0,0.4232615828514099,734.0,0.0
443,33.0,0.2600642740726471,302.0,0.0
444,48.0,0.22795350849628448,757.0,0.0
445,15.0,0.12203426659107208,807.0,0.0
446,134.0,0.09384086728096008,327.0,0.0
447,7.0,0.23308904469013214,680.0,0.0
448,24.0,0.20952317118644714,577.0,0.0
449,290.0,0.12491630017757416,921.0,0.0
450,17.0,0.07375873625278473,755.0,0.0
451,20.0,0.09810703992843628,490.0,0.0
452,49.0,0.15761253237724304,812.0,0.0
453,10.0,0.1178785040974617,438.0,0.0
454,99.0,0.3522385358810425,868.0,0.0
455,15.0,0.1404973715543747,98.0,0.0
456,23.0,0.4445731043815613,803.0,0.0
457,130.0,0.28121739625930786,58.0,0.0
458,113.0,0.05234185978770256,868.0,0.0
459,62.0,0.17641611397266388,584.0,0.0
460,19.0,0.08494219928979874,385.0,0.0
461,10.0,0.02145787514746189,914.0,0.0
462,122.0,0.4225389063358307,945.0,0.0
463,24.0,0.12796007096767426,436.0,0.0
464,23.0,0.26799076795578003,720.0,0.0
465,25.0,0.23655611276626587,619.0,0.0
466,23.0,0.21754901111125946,899.0,0.0
467,42.0,0.16808953881263733,971.0,0.0
468,129.0,0.34855329990386963,738.0,0.0
469,37.0,0.4719235897064209,124.0,0.0
470,23.0,0.09825747460126877,446.0,0.0
471,83.0,0.3088218569755554,675.0,0.0
472,36.0,0.4517619013786316,829.0,0.0
473,49.0,0.07149896770715714,83.0,0.0
474,32.0,0.3121931552886963,698.0,0.0
475,189.0,0.1631980985403061,975.0,0.0
476,29.0,0.177377849817276,691.0,0.0
477,18.0,0.4113920331001282,111.0,0.0
478,29.0,0.31122031807899475,975.0,0.0
479,30.0,0.13453160226345062,659.0,0.0
480,26.0,0.14584077894687653,134.0,0.0
481,5.0,0.36233434081077576,591.0,0.0
482,32.0,0.16015911102294922,634.0,0.0
483,36.0,0.07211245596408844,973.0,0.0
484,111.0,0.15529684722423553,680.0,0.0
485,8.0,0.11549478769302368,712.0,0.0
486,180.0,0.2232324779033661,921.0,0.0
487,55.0,0.11346836388111115,781.0,0.0
488,58.0,0.35653290152549744,132.0,0.0
489,79.0,0.4764072299003601,320.0,0.0
490,84.0,0.09382763504981995,91.0,0.0
491,77.0,0.11144077777862549,917.0,0.0
492,30.0,0.3380419909954071,99.0,0.0
493,29.0,0.19051679968833923,317.0,0.0
494,21.0,0.15574650466442108,640.0,0.0
495,55.0,0.18970133364200592,415.0,0.0
496,22.0,0.26870620250701904,663.0,0.0
497,35.0,0.22308741509914398,701.0,0.0
498,133.0,0.1554938107728958,611.0,0.0
499,40.0,0.14217506349086761,705.0,0.0
500,71.0,0.16293375194072723,669.0,0.0
501,7.0,0.13541924953460693,446.0,0.0
502,19.0,0.19814908504486084,413.0,0.0
503,34.0,0.2599528133869171,693.0,0.0
504,56.0,0.28837934136390686,347.0,0.0
505,100.0,0.1587555706501007,748.0,0.0
506,27.0,0.12642261385917664,978.0,0.0
507,14.0,0.10671897232532501,318.0,0.0
508,56.0,0.39588576555252075,830.0,0.0
509,34.0,0.40270912647247314,701.0,0.0
510,64.0,0.26362642645835876,817.0,0.0
511,26.0,0.19180382788181305,877.0,0.0
512,43.0,0.27017417550086975,669.0,0.0
513,62.0,0.1412622332572937,762.0,0.0
514,31.0,0.13037492334842682,633.0,0.0
515,28.0,0.0840882956981659,318.0,0.0
516,23.0,0.20266832411289215,124.0,0.0
517,25.0,0.06379161030054092,713.0,0.0
518,6.0,0.057409536093473434,339.0,0.0
519,245.0,0.30960968136787415,765.0,0.0
520,23.0,0.07373830676078796,591.0,0.0
521,8.0,0.15543165802955627,680.0,0.0
522,26.0,0.16493196785449982,921.0,0.0
523,18.0,0.4568474292755127,332.0,0.0
524,50.0,0.3086925745010376,819.0,0.0
525,14.0,0.09830483794212341,516.0,0.0
526,19.0,0.12062238901853561,449.0,0.0
527,27.0,0.21021510660648346,434.0,0.0
528,15.0,0.1732892394065857,974.0,0.0
529,66.0,0.08094073832035065,746.0,0.0
530,30.0,0.09655391424894333,743.0,0.0
531,24.0,0.08680570125579834,459.0,0.0
532,121.0,0.3826323449611664,923.0,0.0
533,32.0,0.18236100673675537,657.0,0.0
534,83.0,0.11028604209423065,562.0,0.0
535,18.0,0.0929412990808487,258.0,0.0
536,50.0,0.5060204267501831,732.0,0.0
537,42.0,0.4130474030971527,446.0,0.0
538,126.0,0.09609659761190414,476.0,0.0
539,53.0,0.22821812331676483,979.0,0.0
540,56.0,0.26487451791763306,904.0,0.0
541,9.0,0.10868637263774872,803.0,0.0
542,8.0,0.31523850560188293,451.0,0.0
543,6.0,0.24740689992904663,503.0,0.0
544,131.0,0.11842714995145798,979.0,0.0
545,15.0,0.17087851464748383,26.0,0.0
546,14.0,0.06795766204595566,904.0,0.0
547,53.0,0.41388407349586487,728.0,0.0
548,34.0,0.21416690945625305,611.0,0.0
549,49.0,0.08289525657892227,529.0,0.0
550,26.0,0.2654381990432739,805.0,0.0
551,35.0,0.11799512058496475,556.0,0.0
552,118.0,0.4084177315235138,553.0,0.0
553,22.0,0.33735963702201843,751.0,0.0
554,11.0,0.047122031450271606,556.0,0.0
555,23.0,0.22847560048103333,668.0,0.0
556,27.0,0.2241804450750351,627.0,0.0
557,17.0,0.08181913197040558,190.0,0.0
558,26.0,0.3331421911716461,586.0,0.0
559,108.0,0.4385889172554016,319.0,0.0
560,71.0,0.3163594603538513,846.0,0.0
561,40.0,0.2915591895580292,734.0,0.0
562,37.0,0.052326589822769165,132.0,0.0
563,36.0,0.35895562171936035,832.0,0.0
564,11.0,0.29395851492881775,718.0,0.0
565,49.0,0.1543329358100891,795.0,0.0
566,24.0,0.1592262089252472,884.0,0.0
567,44.0,0.12467814981937408,831.0,0.0
568,4.0,0.057374197989702225,680.0,0.0
569,30.0,0.06769287586212158,354.0,0.0
570,14.0,0.10681040585041046,126.0,0.0
571,31.0,0.18929781019687653,314.0,0.0
572,54.0,0.22683343291282654,923.0,0.0
573,34.0,0.16303381323814392,629.0,0.0
574,9.0,0.08348651975393295,727.0,0.0
575,75.0,0.14689083397388458,762.0,0.0
576,38.0,0.09808170050382614,747.0,0.0
577,25.0,0.29413455724716187,586.0,0.0
578,38.0,0.18125106394290924,981.0,0.0
579,26.0,0.1565067321062088,724.0,0.0
580,13.0,0.13316653668880463,337.0,0.0
581,8.0,0.05653740093111992,465.0,0.0
582,28.0,0.13874496519565582,588.0,0.0
583,40.0,0.4748718738555908,974.0,0.0
584,110.0,0.45014429092407227,674.0,0.0
585,48.0,0.2894541621208191,547.0,0.0
586,59.0,0.24939784407615662,631.0,0.0
587,28.0,0.18466180562973022,595.0,0.0
588,17.0,0.1309024542570114,395.0,0.0
589,7.0,0.18983754515647888,556.0,0.0
590,18.0,0.15841715037822723,589.0,0.0
591,41.0,0.7669134140014648,669.0,0.0
592,39.0,0.08161263912916183,807.0,0.0
593,28.0,0.15716388821601868,619.0,0.0
594,60.0,0.3315396010875702,462.0,0.0
595,29.0,0.2944048345088959,627.0,0.0
596,22.0,0.11338932812213898,669.0,0.0
597,36.0,0.11489905416965485,828.0,0.0
598,143.0,0.24619196355342865,961.0,0.0
599,10.0,0.2586052715778351,900.0,0.0
600,184.0,0.17973540723323822,755.0,0.0
601,158.0,0.23502689599990845,921.0,0.0
602,25.0,0.1713154911994934,656.0,0.0
603,14.0,0.09211312234401703,631.0,0.0
604,118.0,0.26588955521583557,765.0,0.0
605,16.0,0.38735431432724,465.0,0.0
606,100.0,0.12651577591896057,328.0,0.0
607,18.0,0.28101232647895813,975.0,0.0
